Title,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Overview,Location,# of spots,Image,Style,Duration,Author,Author Pic,Min read,Cost,City Name,Hotels,Restaurants,Attractions,Itineraries,City Blogs,Main Title
Trip to Zanzibar Island,trip-to-zanzibar-island,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb0544f855e78753f5ad,false,false,Fri Mar 21 2025 05:37:09 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:54 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Zanzibar Island is a tropical paradise known for its stunning beaches and rich culture. Perfect for travelers seeking relaxation and adventure alike, this destination offers vibrant markets, historic Stone Town, and breathtaking sunsets. Book your flights to Zanzibar today and let this exotic island inspire your next getaway!","Zanzibar City, Tanzania",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e679323b5501de540185a5_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Nature's Wonder,4 days,Damien D,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e9818e5b9466a935c7a616_1709535536814.jpeg,3 min read,$,Zanzibar City,zanzibar-palace-hotel; park-hyatt-zanzibar; the-zanzibari-boutique-hotel,zanzibar-pizza-shop; the-rock-restaurant; emerson-on-hurumzi,private-sunset-dhow-cruise; stone-town-walking-tour; jozani-forest-tour,3-days-in-zanzibar-island; 5-days-in-zanzibar-island; 7-days-in-zanzibar-island,zanzibar-island-travel-guide-booked-ai; hidden-gems-in-zanzibar-island-booked-ai; is-zanzibar-island-worth-visiting-booked-ai,
Trip to Venice,trip-to-venice,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb05470aa01587f7902c,false,false,Fri Mar 21 2025 05:37:09 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:55 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Venice is a captivating city known for its stunning canals and rich history. As an ideal destination for urban discovery, it offers visitors a chance to experience unique architecture, delicious cuisine, and vibrant culture. Looking for the best hotels? Our AI Travel Agent can help you plan your trip and find flights to Venice!","Venice, Italy",3,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e679333b5501de540187c8_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Urban Discovery,5 days,Sanath K,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67ea1fdaab2143a39c68bc59_santh.jpeg,4 min read,$$$$,Venice,hotel-antiche-figure; hotel-danieli; aman-venice,osteria-all-angelo; trattoria-da-fiore; ristorante-quadri,private-venetian-hot-air-balloon-ride; free-walking-tour-venice; gondola-ride,3-days-in-venice; 5-days-in-venice; 7-days-in-venice,venice-travel-guide-booked-ai; best-time-to-visit-venice-booked-ai; is-venice-worth-visiting-booked-ai,
Trip to Khao Lak,trip-to-khao-lak,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb0668a3863466150e16,false,false,Fri Mar 21 2025 05:37:10 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:55 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Khao Lak is a stunning beach destination in Thailand, perfect for a relaxing getaway. Known for its beautiful coastline and vibrant marine life, it offers activities like snorkeling and diving. Don't miss the local markets and delicious Thai cuisine. For smooth planning, use an AI travel agent for flights and hotels!","Khao Lak, Thailand",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e679410b34676964829c2d_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Paradise,5 days,Steven Wang,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e98176c933bf8f87460557_author-pic.jpeg,4 min read,$$,Khao Lak,smile-khaolak-resort; the-sarojin; jw-marriott-khao-lak-resort-spa,jasmine-wok; l-isola-restaurant; the-cliff-bar-grill,nang-thong-beach-private-yacht-charter; khao-lak-beach; similan-islands-snorkeling,3-days-in-khao-lak; 5-days-in-khao-lak; 7-days-in-khao-lak,best-time-to-visit-khao-lak-booked-ai; is-khao-lak-worth-visiting-booked-ai; khao-lak-everything-you-need-to-know-before-you-go-booked-ai,
Trip to Sapa,trip-to-sapa,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb080cba966fd51f744e,false,false,Fri Mar 21 2025 05:37:12 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:55 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Sapa is a breathtaking destination known for its stunning terraced rice fields and rich culture. Perfect for nature lovers and adventure seekers, it offers incredible hiking trails and vibrant local markets. Consider booking flights to Sapa for a memorable getaway, and don't miss out on local cuisine and unique experiences.","Sapa, Vietnam",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e6794042548f5efafc12a0_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Nature's Wonder,5 days,Steven Wang,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e98176c933bf8f87460557_author-pic.jpeg,3 min read,$$,Sapa,sapa-rustic-homestay; hotel-de-la-coupole---mgallery; hotel-1,pho-sapa; green-valley-restaurant; the-hill-station-signature-restaurant,bamboo-resort-retreat; trekking-in-sapa-valley; fansipan-mountain,3-days-in-sapa; 5-days-in-sapa; 7-days-in-sapa,sapa-travel-guide-booked-ai,
Trip to Almaty,trip-to-almaty,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb0c252e8c13af608f90,false,false,Fri Mar 21 2025 05:37:16 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:54 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Almaty is a must-visit for travelers seeking a unique experience. With an AI Travel Agent and Trip Planner App, planning your stay is easy. Discover local gems, enjoy affordable hotels, and book flights to Almaty. Dive into the city's rich culture and unforgettable attractions today!","Almaty, Kazakhstan",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e6793add28eb8dc3fb4ce5_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Urban Discovery,5 days,Mennan Yelkenci,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e9817de127e02f2e7f9e5a_1716422602790.jpeg,4 min read,$,Almaty,hotel-almaty; rixos-almaty-hotel; the-ritz-carlton-almaty,dastarkhan; zheti-kazyna; savoy,charyn-canyon-tour; big-almaty-lake; medeo-skating-rink,3-days-in-almaty; 5-days-in-almaty; 7-days-in-almaty,almaty-travel-guide-booked-ai; is-almaty-worth-visiting-booked-ai; solo-travelling-in-almaty-booked-ai,
Trip to Porto,trip-to-porto,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb0e384661801ea6c0ca,false,false,Fri Mar 21 2025 05:37:18 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:54 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Porto offers riverside charm, historic sites and affordable hotels. Its walkable layout makes it ideal to plan with AI travel or a trip planner app for a culturally rich, convenient stay.","Porto, Portugal",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e6793049df0c915b258533_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Nature's Wonder,5 days,Sanath K,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67ea1fdaab2143a39c68bc59_santh.jpeg,4 min read,$$,Porto,hotel-aliados; pestana-vintage-porto-hotel-world-heritage-site; the-yeatman,adega-tipica-santiago; taberna-da-ribeira; dop,wine-tasting-tour-at-graham-s-port-lodge; livraria-lello; ribeira-district,3-days-in-porto; 5-days-in-porto; 7-days-in-porto,porto-travel-guide-booked-ai; solo-travel-in-porto-booked-ai; is-porto-worth-visiting-booked-ai,
Trip to Siem Reap,trip-to-siem-reap,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb0f384661801ea6c14d,false,false,Fri Mar 21 2025 05:37:19 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:55 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Siem Reap is a must-visit destination, famous for its proximity to the stunning Angkor Wat temple complex. Travelers can enjoy local markets, delectable cuisine, and vibrant culture. Whether you're using an AI Travel Agent or a Trip Planner App, arrange your flights to Siem Reap for an unforgettable experience!","Siem Reap, Cambodia",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e679289015a5516a7f4442_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Paradise,5 days,Sanath K,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67ea1fdaab2143a39c68bc59_santh.jpeg,3 min read,$,Siem Reap,golden-mango-inn; heritage-suite-hotel; angkor-green-gardens-by-dara,the-red-piano; the-sugar-palm; malis-restaurant,helicopter-tour-of-angkor-temples; pub-street; angkor-wat,3-days-in-siam-reap; 5-days-in-siam-reap; 7-days-in-siam-reap,siem-reap-ai-travel-guide-booked-ai; best-time-to-visit-siem-reap-booked-ai; why-siem-reap-should-be-your-next-adventure-booked-ai,
Trip to Stuttgart,trip-to-stuttgart,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb107b932c58c3b7c87d,false,false,Fri Mar 21 2025 05:37:20 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:54 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Stuttgart blends modern life with rich culture, offering museums, green spaces and budget hotels. Easily explore with an AI travel agent or trip planner app for a well-located city experience.","Stuttgart, Germany",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e67937ac5fc9649891bccd_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Pure Fun!,5 days,Mennan Yelkenci,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e9817de127e02f2e7f9e5a_1716422602790.jpeg,4 min read,$$$,Stuttgart,ibis-styles-filderstadt-stuttgart; le-meridien-stuttgart; schlossle-hotel-stuttgart,die-bo-founde-stube; restaurant-stuttgarter-staffele; restaurant-ko59,wilhelma-zoo-and-botanical-garden; stuttgart-city-library; mercedes-benz-museum,3-days-in-stuttgart; 5-days-in-stuttgart; 7-days-in-stuttgart,discover-stuttgart-alone-booked-ai; is-stuttgart-worth-visiting-booked-ai; plan-your-stuttgart-adventure-booked-ai,
Trip to Cordoba,trip-to-cordoba,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb111942f43b22ca5dc7,false,false,Fri Mar 21 2025 05:37:21 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:54 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Cordoba, a gem in Spain, is perfect for food lovers. With its rich culinary scene, you can savor tapas and local wines. Don't miss the historic Mezquita and charming patios. Ideal for travelers seeking authentic flavors, Cordoba offers a delightful escape. Consider booking flights to Cordoba for the ultimate foodie experience!","Córdoba, Spain",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e6793dfb2ac819b29b94b0_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Foodie's Love,5 days,Steven Wang,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e98176c933bf8f87460557_author-pic.jpeg,4 min read,$$$,Córdoba,hotel-riviera; hotel-macia-alfaros; hotel-hospes-palacio-del-bailio,tasca-la-calila; bodegas-campos; restaurante-noor,cordoba-horseback-riding-experience; alcazar-de-los-reyes-cristianos; mezquita-catedral-de-cordoba,3-days-in-cordoba; 5-days-in-cordoba; 7-days-in-cordoba-booked-ai,hidden-gems-in-cordoba-booked-ai; solo-travel-in-cordoba-booked-ai; is-cordoba-worth-visiting-booked-ai,
Trip to Tartu,trip-to-tartu,673711ffbff242dabe21fc14,6613f5a399757c17cec4c186,67dcfb1340566005f91edfcb,false,false,Fri Mar 21 2025 05:37:23 GMT+0000 (Coordinated Universal Time),Mon Apr 28 2025 00:59:54 GMT+0000 (Coordinated Universal Time),Tue Jun 17 2025 07:37:53 GMT+0000 (Coordinated Universal Time),"Tartu, a charming city in Estonia, offers a perfect blend of history and modernity. Known for its vibrant student life and rich cultural scene, visitors can enjoy landmarks like the Tartu University and the AHHAA Science Centre. Ideal for travelers seeking inspiration, book your flights to Tartu today!","Tartu, Estonia",,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e6794499c267ea818d7522_Flux_Dev_Objective__Generate_a_hyper_realistic_aerial_view_sto_0.jpeg,Urban Discovery,5 days,Mennan Yelkenci,https://cdn.prod.website-files.com/6613f5a399757c17cec4c187/67e9817de127e02f2e7f9e5a_1716422602790.jpeg,4 min read,$$,Tartu,hotel-tartu; hotel-lydia; hotel-antonius,vilde-ja-vine; harg; polpo-tartu,ahhaa-science-centre; tartu-university-botanical-garden; tartu-old-observatory,3-days-in-tartu; 5-days-in-tartu; 7-days-in-tartu,discover-tartu-solo-booked-ai; is-tartu-worth-visiting-booked-ai; best-time-to-visit-tartu-booked-ai,
